class_index,review_text
2,shell games
0,finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .
4,undeniably fascinating and playful fellow
2,Have Curves
4,is undoubtedly one of the finest films of the year
1,Collapses under its own meager weight
4,a great movie
0,not to mention dragged down by a leaden closing act
0,bad Clive Barker movie
2,The best didacticism is one carried by a strong sense of humanism
3,runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem
1,was beginning to hate it
4,beautifully choreographed
0,numbingly dull experience
0,errors
2,Hard and
1,of useless actioners
2,for those with at least a minimal appreciation of Woolf and Clarissa Dalloway
3,It strikes hardest ... when it reminds you how pertinent its dynamics remain .
2,come from a broken family
1,but they 're simply not funny performers
4,An energetic and engaging film
4,it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .
1,and weakly acted
2,shoots
3,worthwhile environmental message
1,overwrought existentialism
4,film a must for everyone from junior scientists
4,A fast paced and suspenseful Argentinian thriller about the shadow side
2,Life on the rez
0,gross
1,wants to be liked by the people who can still give him work .
4,a sight to behold
3,the sexuality
3,whose derring-do puts the X into the games
1,soon forgotten
2,wherever it takes you
1,uncoordinated
3,a film so willing to champion the fallibility of the human heart
0,another tired old vision
0,a yellow streak a mile wide decorates its back
0,having sucked dry the undead action flick formula
3,there are enough high points to keep this from being a complete waste of time
0,explode obnoxiously
2,his wife
1,fall to pieces
2,moments of revelation
0,enters the pantheon of wreckage that includes Battlefield Earth and Showgirls
4,solidly entertaining and moving family drama
0,Terminally brain dead production .
2,crowded
1,walk out of The Good Girl
4,Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format
0,a terrible movie
0,inconsistent and ultimately unsatisfying
3,with leonine power
4,have made it an exhilarating
0,dud from frame one
3,certainly has its share of clever moments and biting dialogue
3,The sword fighting is well done
4,liked this film a lot
3,best inside-show-biz
2,standard guns
3,Kissing
4,an exercise in gorgeous visuals
2,beast
2,that `
4,films that leaps over national boundaries and celebrates universal human nature
3,there 's a clarity of purpose and even-handedness to the film 's direction
3,Bring on the sequel .
2,gurus and
3,promises a new kind of high
1,was trying to decide what annoyed me most about God is Great
0,The story 's pathetic
0,stop Eric Schaeffer before he makes another film
2,Of The Bride 's humour
4,a visually masterful work of quiet power
0,The lack of naturalness makes everything seem self-consciously poetic and forced ... It 's a pity that -LRB- Nelson 's -RRB- achievement does n't match his ambition .
3,surrounded by open windows
3,clear-cut
0,entirely humorless
4,commands interest almost solely as an exercise in gorgeous visuals
2,flux
1,and pretentious endeavor
2,to the workplace
3,to keep grown-ups from squirming in their seats
1,seems inconceivable
3,Troubling and powerful .
1,of hackery
3,makes each crumb of emotional comfort
0,affected child acting to the dullest Irish pub scenes ever filmed
4,results is the best performance from either in years
1,something of a stiff
2,of its style
3,gentle and humane
1,exhaustingly contrived
1,pretends to be passionate and truthful but
2,Shindler 's
3,the pre-teen crowd
2,of incident
1,feels as if the movie is more interested in entertaining itself than in amusing us .
3,so much as it is a commentary about our knowledge of films
2,Scorsese 's Mean Streets
2,of depression
1,although this idea is `` new ''
4,handed down from the movie gods
3,the surprisingly somber conclusion
4,an obvious rapport with her actors
0,close to losing my lunch
4,Thoroughly engrossing
0,the worst films
3,lot less time
3,enhances the quality of Neil Burger 's impressive fake documentary .
4,does so many of the little things right
0,the yawning chasm where the plot should be
3,comedic writing
3,whit
2,seen before from Murphy
0,often lethally dull
4,remarkable procession of sweeping pictures that have reinvigorated the romance genre
1,'re entirely unprepared
1,have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza
3,a mournful undercurrent that places the good-time shenanigans in welcome perspective
0,American Beauty reeks
1,this story to go but down
1,insignificant
2,the '70s
3,a lot of emotional resonance
1,as obnoxious as Tom Green 's Freddie Got Fingered
0,falls flat as a spoof
2,this films reason
1,cheat
1,getting around the fact that this is Revenge Of The Nerds Revisited --
1,one spectacularly ugly-looking broad
0,characteristically engorged and sloppy
2,Will anyone who is n't a Fangoria subscriber
1,big fat pain .
1,the so-bad-it 's
3,sucking you in ... and making you sweat
0,fairly slow
1,cold light
0,few things more frustrating
1,such a bad day
1,if `` gory mayhem '' is your idea of a good time
0,is a failure
3,A dashing and absorbing
4,The Widowmaker is a great yarn
1,veiling tension
1,questionable kind
3,from charismatic rising star Jake Gyllenhaal
0,confines himself to shtick and sentimentality -- the one bald and the other sloppy .
1,it still feels somewhat unfinished .
3,set you free
0,can such a cold movie claim to express warmth and longing ?
0,tedious as the chatter of parrots raised on Oprah
3,laughter and self-exploitation
0,love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .
1,'ll be at the dollar theatres by the time Christmas rolls around
3,great cinematic polemic
0,A generic family comedy unlikely to be appreciated by anyone outside the under-10 set .
3,a showdown
0,is cheap junk and an insult to their death-defying efforts
0,riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it
3,its perfect quiet pace
3,without reeking of research library dust
2,prostitute
2,intellectually and
1,Is it a comedy ?
2,has intentionally
2,hard to fairly judge a film like RINGU when you 've seen the remake first
0,revulsion
3,Mostly honest
2,`` big moment ''
2,'70s exploitation picture
4,a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye
2,Leigh 's
2,may or may
1,Throwing it all away
4,humor
3,finally have the worthy successor to A Better Tomorrow and The Killer which they have been patiently waiting for .
0,The project 's filmmakers forgot to include anything even halfway scary as they poorly rejigger Fatal Attraction into a high school setting .
3,A lovely film for the holiday season .
1,trance-noir and trumped-up street credibility
4,old-fashioned Hollywood magic
4,enormously good fun
1,punching people in the stomach again
1,is frittered away in middle-of-the-road blandness
1,graceless
3,uncompromising artists trying to create something original
1,nonsensical story
2,In the process of trimming the movie to an expeditious 84 minutes
4,bring fresh good looks and an ease in front of the camera to the work
3,robust
1,being simpleminded
0,... pays tribute to heroes the way Julia Roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .
1,all aliens
2,An instance of an old dog
4,fresh and dramatically substantial
0,I felt disrespected .
4,masterfully
4,very well shot
1,#NOM?
2,its unforced comedy-drama and
3,a remarkable new trick
1,has the potential for Touched by an Angel simplicity and sappiness
0,see a better thriller
1,of intoxicating atmosphere and little else
0,galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie
1,verbally flatfooted
1,Does what should seem impossible : it makes serial killer Jeffrey Dahmer boring
3,easy to like
3,for all of us
4,a solid cast
4,is something of a triumph .
0,yet another tired old vision
3,lovably
3,his chemistry with Shimizu is very believable
0,... puts enough salt into the wounds of the tortured and self-conscious material to make it sting .
1,'s hard to imagine acting that could be any flatter
2,by Argentine director Fabian Bielinsky
3,this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten .
2,his Indian Love Call to Jeanette MacDonald
2,two years
1,feel like three hours
4,Jean-Claude Van Damme look good
2,bruised characters
0,by 86 minutes of overly-familiar and poorly-constructed comedy
0,pompous
2,of Scarface
2,its provocative central wedding sequence
0,spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio
3,little morality tale
3,that made the first film such a delight
3,an undeniable entertainment value
0,crappy
0,all-time low
2,than a
2,of the 20th century
0,Guilty of the worst sin of attributable to a movie like this : it 's not scary in the slightest .
4,quite funny
2,writer-director -RRB- Franc
4,fantastic dual performance
2,personal identity
4,a spectacular performance - ahem
0,Guilty of the worst sin of attributable to a movie like this
1,buzz-obsessed
3,Reign
2,'s surely
1,sags in pace
3,the quick emotional connections of Steven Spielberg 's Schindler 's List
0,one baaaaaaaaad movie
4,a great cast
2,a minute idea
0,been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again
4,Enormously enjoyable
0,Koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .
3,appreciated equally
4,a non-stop funny feast
0,The 50-something lovebirds are too immature and unappealing to care about .
1,times a bit melodramatic and even a little dated
2,relationships minus traditional gender roles
2,reworks the formula that made The Full Monty a smashing success ... but neglects to add the magic that made it all work
4,of those unassuming films that sneaks up on you and stays with you long after you have left the theatre
2,a lifestyle
0,I hate it .
1,Hitler 's
0,for completely empty entertainment
0,just die already
2,of either
4,deliver again and again
0,an insultingly inept and artificial examination of grief and
1,the economic fringes
3,'s hard to resist
1,is a tired one
0,that fails on so many levels
2,flows as naturally as Jolie 's hideous yellow ` do
0,insultingly inept and artificial
1,Needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism
2,meets
4,deliver remarkable performances
1,all you can do is admire the ensemble players and wonder what the point of it is .
1,plays like a tired Tyco ad
4,brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .
4,to have you leaving the theater with a smile on your face
4,most aggressive and most sincere
0,is one baaaaaaaaad movie .
3,to ride the big metaphorical wave that is life -- wherever it takes you
3,is priceless
0,under-rehearsed and
0,you to scratch a hole in your head
1,weightless that a decent draft in the auditorium might blow it off the screen .
4,My Wife is an Actress has its moments in looking at the comic effects of jealousy .
3,tackled a meaty subject and
4,entirely wholesome
0,as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet
1,to see the same old thing in a tired old setting
3,performed a difficult task indeed
3,` Scratch ' is a pretty decent little documentary .
1,exploitation flick
1,because there 's precious little substance in Birthday Girl
1,imbecilic
0,I would go back and choose to skip it .
3,That 's why Sex and Lucia is so alluring .
3,Sea 's
1,This story of unrequited love does n't sustain interest beyond the first half-hour .
4,amazingly successful
2,waiting room
1,its crapulence
0,Bloody Sunday lacks in clarity
1,poetic tragedy
0,of what 's on Saturday morning TV especially the pseudo-educational stuff we all ca n't stand
0,is n't one moment in the film that surprises or delights
0,big letdown
1,rejected X-Files episode
0,Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something
0,Will probably be one of those movies barely registering a blip on the radar screen of 2002 .
1,redolent of a thousand cliches
2,shallow sensationalism characteristic
4,a sterling ensemble cast
1,'s all surprisingly predictable
0,easily forgettable film .
0,have you forever on the verge of either cracking up or throwing up
1,uneven dialogue and plot lapses
3,clear-cut hero
3,they turn out to be delightfully compatible here
4,the culture clash comedies
2,English title
4,the best movies of the year
3,quasi-documentary
4,Maguire makes it a comic book with soul
4,P.T. Anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .
4,humor throughout
4,It 's dark but has wonderfully funny moments ; you care about the characters ; and the action and special effects are first-rate .
3,Angelina Jolie 's surprising flair
2,middle age with this unlikely odyssey
1,one of the worst of the entire franchise
0,unbearable when it is n't merely offensive
4,Intriguing and downright intoxicating
2,85
1,the murder
3,plain boring
2,the movie 's wildly careening tone and
1,too dry
2,agent decoder ring
3,enlightened by any of Derrida 's
1,sickening product placement
2,`` Shakes The Clown ''
3,A different and emotionally reserved type of survival story
1,suffocation
4,overall it 's an entertaining and informative documentary .
3,of Candid Camera
3,with ideas that are too complex to be rapidly absorbed
3,'s refreshing after the phoniness of female-bonding pictures like Divine Secrets of the Ya-Ya Sisterhood
2,huskies
2,the novel on which it 's based
4,brilliant motion picture
2,supple understanding
4,such an engrossing story that will capture the minds and hearts of many
3,picture-perfect life
3,her share of the holiday box office pie
3,a neat twist
2,the routine day
2,Would I see it again ?
0,a mediocre collection of cookie-cutter action scenes
1,Our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and I know this because I 've seen ` jackass : the movie .
4,a surprising winner
1,for extreme unease
4,a web of dazzling entertainment
0,the most annoying thing
0,'s a bad sign in a thriller when you instantly know whodunit .
3,wonderful acting clinic
1,Shyamalan should stop trying to please his mom .
1,... tries to cram too many ingredients into one small pot .
3,moment gems
2,stringently
1,uses his usual modus operandi of crucifixion
2,Stirs potentially enticing ingredients into an uneasy blend of Ghost and Close Encounters of the Third Kind
0,may just end up trying to drown yourself in a lake afterwards
1,overwhelmed by predictability
2,XXX ''
4,is clever and funny
0,skip it
2,rendered love story
0,low-rent -- and even lower-wit -- rip-off
1,hide a weak script
4,glorious spectacle
4,inspires some -LRB- out-of-field -RRB- creative thought
4,the world 's best actors
0,so poorly plotted and scripted .
3,breathe life into this somewhat tired premise
2,its fair share of saucy
2,cone
0,turd
4,remains the most wondrous of all Hollywood fantasies -- and the apex of Steven Spielberg 's misunderstood career
2,laughs at how clever it 's being
3,all-woman
0,a long time that made me want to bolt the theater in the first 10 minutes
1,puns
3,a hint
4,he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie
4,especially well-executed television movie
3,effortlessly draws you in
4,marked by acute writing and a host of splendid performances
3,please Eastwood 's loyal fans
4,should make it required viewing in university computer science departments for years to come
4,poignant and uplifting story
2,from himself and
3,Waiting for Godard can be fruitful : ` In Praise of Love ' is the director 's epitaph for himself .
4,has some of the funniest jokes of any movie this year
1,choppiness
1,weirdo actor Crispin Glover
4,is a great deal of fun
2,futuristic
0,a movie comes along to remind us of how very bad a motion picture can truly be .
1,quickly sinks into by-the-numbers territory .
2,to be truly informed by the wireless
1,shocking in its eroticized gore
0,potentially trite and overused
0,irredeemably awful
1,at either the obviousness of it all or its stupidity or maybe even its inventiveness
0,disappoint anyone who values the original comic books
4,is a hilarious adventure
2,last year
0,'s not a comedic moment in this romantic comedy
2,more paths
0,' should never have been brought out of hibernation
4,bewilderingly brilliant and
3,a shrewd and effective film from a director who understands how to create and sustain a mood
1,-LRB-
3,brutal and funny
0,boredom to the point of collapse
3,bang-up job
4,justifying the hype that surrounded its debut at the Sundance Film Festival
3,the comedy was funny
0,most moronic screenplays
2,the realities of gay sex
2,going on here
0,look at a slice of counterculture that might be best forgotten
4,worth the trip to the theatre
2,stink bomb
0,Did no one on the set have a sense of humor
3,leftovers
3,Poignant and delicately complex .
2,documentaries ever
0,in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes
3,is painterly .
1,could be any flatter
2,build up
2,'ll wind up together
3,will likely prefer to keep on watching
3,beautifully photographed
4,a good film in `` Trouble Every Day
0,tastelessness and
2,it is .
1,'s contrived and predictable
3,can make undemanding action movies with all the alacrity of their Hollywood counterparts
0,have given it a one-star rating
3,throwaway references to faith and rainbows to plant smile-button faces on that segment of the populace that made A Walk to Remember a niche hit
1,is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that
3,happens to be good
1,amoral assassin
0,Just a collection of this and that -- whatever fills time -- with no unified whole
0,same old garbage
2,no other film in recent history
4,of warmth and humor
1,laborious
2,another world
4,the best performance
1,they 've already seen this exact same movie a hundred times
3,... is a man who uses the damage of war -- far more often than the warfare itself -- to create the kind of art shots that fill gallery shows
3,a remarkably faithful one
0,This flat run at a hip-hop Tootsie is so poorly paced you could fit all of Pootie Tang in between its punchlines .
2,Plays like a checklist of everything Rob Reiner and his cast were sending up .
2,'s `` Waking up in Reno . ''
3,a hallucinatory dreamscape that frustrates and captivates
2,National Lampoon film franchise
4,bring out joys in our lives that we never knew
3,cinematically powerful
0,It 's all surface psychodramatics .
4,with poetic force and buoyant feeling
2,relentlessly globalizing world
2,modestly comic
1,unfathomable
3,adored The Full Monty so resoundingly
1,settled for a lugubrious romance
0,sucker
0,look so bad in a major movie
3,inoffensive and harmless
4,runs through Balzac and the Little Chinese Seamstress that transforms this story about love and culture into a cinematic poem .
0,hard to imagine a more generic effort in the genre
3,is still a deeply moving effort to put a human face on the travail of thousands of Vietnamese .
1,looks as though Jay Roach directed the film from the back of a taxicab
1,navigates a fast fade into pomposity and pretentiousness .
3,people who are enthusiastic about something and then
1,... comes alive only when it switches gears to the sentimental .
2,in New York and L.A.
0,'s plenty to offend everyone ...
1,no good
3,is just fine
1,rigid and
4,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .
2,picked it
2,in Goldmember
4,extraordinary dramatic experience .
3,returns as a visionary with a tale full of nuance and character dimension .
4,open-hearted film
1,'s as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet ?
1,ill-timed
3,the exotic surface -LRB- and exotic dancing -RRB-
1,The Ya-Ya 's have many secrets and one is - the books are better
1,have had free rein to be as pretentious as he wanted
3,meets-John
4,is a brilliant movie .
0,a deeply unpleasant experience
3,Horns and Halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .
4,Sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments .
2,fateful fathers
4,some very good acting
2,degraded things get
3,to bring any edge or personality to The Rising Place that would set it apart from other Deep South stories
3,ca n't be dismissed as mindless
0,stupid and annoying
1,sappy dialogue
0,racist
0,a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland
2,explore the obvious voyeuristic potential of ` hypertime '
4,'ll be white-knuckled and unable to look away
4,I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .
2,pop up frequently
2,Statham can move beyond the crime-land action genre
2,ordinary life survivable
0,feel my eyelids ... getting ... very ... heavy
3,and quirky comedy
3,A look
2,world-renowned filmmakers
1,void
0,is a frustrating patchwork : an uneasy marriage of Louis Begley 's source novel -LRB- About Schmidt -RRB- and an old Payne screenplay .
3,sprung from such a great one
2,seen in other films
2,the freshness of the actress-producer and writer
4,with moments of genuine insight into the urban heart
4,while Huppert ... is magnificent
3,Your appreciation of it
1,the usual whoopee-cushion effort
4,Takes a simple premise and carries it to unexpected heights .
4,it won -- and wins still
4,one terrific score
3,a clear-eyed portrait
2,with nothing new
3,is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .
3,What 's invigorating about it is that it does n't give a damn .
2,Cassel
4,very original
3,includes one of the strangest
2,Breckin
3,heavyweights Joel Silver and Robert Zemeckis
2,pile up
4,A wildly entertaining scan of Evans ' career .
1,very choppy and monosyllabic despite the fact
3,it throws you for a loop .
2,for her actions
4,impressive performances
1,pathetic as Dahmer
3,own solemn insights
0,'s hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone
1,German Jewish refugees
0,emerges as a surprisingly anemic disappointment .
1,prey to its sob-story trappings .
0,Less funny than it should be and less funny than it thinks it is .
2,French cinema 's
3,reveals an ironic manifestation of institutionalized slavery that ties a black-owned record label with a white-empowered police force .
2,it 's nothing we have n't seen before from Murphy
0,The original was n't a good movie but this remake makes it look like a masterpiece !
3,filled with love for the movies of the 1960s .
2,a grievous but obscure complaint against fathers
3,its love of life and beauty
2,blunt
1,are becoming irritating
4,A moving and solidly entertaining comedy\/drama that should bolster director and co-writer
2,you get it
3,the original New Testament stories so compelling
4,a one-of-a-kind work
4,elegant technology for the masses
1,Pootie Tang with a budget
1,assassination
2,chiefly
3,An entertaining mix of period drama and flat-out farce that should please history fans .
0,a computer-generated cold fish
3,is achingly honest and delightfully cheeky .
2,Devoid of any of the qualities that made the first film so special
2,a VH1 Behind the Music episode
4,disarmingly straightforward and strikingly devious
3,appeal to Asian cult cinema fans and Asiaphiles interested to see what all the fuss is about .
0,absurdities and inconsistencies
0,The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .
4,a better movie experience
2,the strings that make Williams sink into melancholia
2,crooned
3,soars above the material realm
2,to underscore the action
1,of ineptly
3,sentimental
0,Devoid of any of the qualities that made the first film so special .
4,use in the breathtakingly beautiful outer-space documentary Space Station 3D
1,that ` this is a story without surprises
2,sweaty old guy
4,a majestic achievement
4,it 's funny
0,a disappointment
1,Fear Dot Com is more frustrating than a modem that disconnects every 10 seconds .
3,unburdened by pretensions to great artistic significance
1,meandering ending
4,a powerful and deeply moving example of melodramatic moviemaking
3,genuinely enthusiastic
2,are on the loose
2,left it lying there
2,Rock 's
0,It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .
1,to Kill Your Neighbor 's Dog is slight but unendurable
1,that even its target audience talked all the way through it .
0,Press the delete key .
0,becomes lifeless and falls apart like a cheap lawn chair .
2,misplaced
1,drifts aimlessly
2,cowering and begging at the feet a scruffy Giannini
4,sincerely crafted picture
2,timing
4,your interest until the end and even leaves you with a few lingering animated thoughts
2,Valley Boy voice
3,both the scenic splendor
4,Polanski 's best film
2,grubbing New Yorkers and their serial
4,Congrats Disney
4,She 's a pretty woman
3,her fearlessness
2,four-year-old
0,Idiotic and ugly
3,fleeting joys
3,efficiently minimalist style
0,Collapses after 30 minutes into a slap-happy series of adolescent violence .
2,MacDowell
1,hackery
1,smack of a film school undergrad
1,time fillers between surf shots
1,one it follows into melodrama and silliness
3,dystopian
3,bracing truth
3,you love him
1,stubbornly refused to gel
2,Gussied up with so many distracting special effects and visual party tricks
0,pick your nose instead
0,do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance
3,with a sweet
1,most excruciating 86 minutes
3,put on an intoxicating show .
2,This new movie version
1,something both ugly and mindless
4,a worthy substitute
3,it ultimately delivers
0,watching an iceberg melt -- only
1,loses its overall sense of mystery
1,dreadful day
2,maintaining
3,is a young artist 's thoughtful consideration of fatherhood
0,so dumb
0,feels stitched together from stock situations and characters from other movies
2,'d better
3,be a good match of the sensibilities of two directors
2,are at hostile odds with one another through recklessness and retaliation
2,this indie flick
1,A different movie -- sometimes tedious --
2,bon bons
2,that you might think he was running for office -- or trying to win over a probation officer
4,its superior cast
0,that virtually no one is bound to show up at theatres for it
0,Men in Black II achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as Whiffle-Ball epic .
4,genre-busting
0,just never gets off the ground .
1,rehashes to feed to the younger generations
2,a more traditionally plotted popcorn thriller
1,old gags
3,elegiac portrait
3,safely recommended as a video\/DVD babysitter
2,plastic knickknacks
0,it should pay reparations to viewers .
3,the film is well-intentioned
1,stunt-hungry dimwits
1,perversely
2,one makes of its political edge
2,it to hit cable
4,exceptionally good
4,fine-looking film
2,modesty
2,lunch
1,the film 's predictable denouement
0,'s a reason the studio did n't offer an advance screening .
1,playing the obvious game
1,would be disingenuous to call Reno a great film
3,entertainingly reenacting a historic scandal
1,the pratfalls but little else
2,Got a David Lynch jones
1,there surrender $ 9 and
1,wayward
2,that is constantly being interrupted by Elizabeth Hurley in a bathing suit
0,sitting through it is something akin to an act of cinematic penance
1,and Two Smoking Barrels
0,Like a can of 2-day old Coke .
4,content with a clever pseudo-bio that manages to have a good time as it doles out pieces of the famous director 's life
4,amaze
1,Liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario .
3,The riveting performances
2,a release
4,possibly the best actor
3,the kind of energy it 's documenting
3,live happily ever after
3,on a traditional Indian wedding in contemporary New Delhi
4,Denzel Washington 's fine performance in the title role
0,the update is dreary and sluggish .
2,cleaving
4,of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions
2,of obsessive love
3,it is n't a comparison to reality so much as it is a commentary about our knowledge of films .
2,the topic
3,gaining most of its unsettling force
2,of exploitation
2,Mr. Lopez himself
4,sweet and enjoyable fantasy
4,always entertaining
3,the best the contest received
0,repulsive and
0,as a war tribute is disgusting to begin with
3,defined
1,lack the nerve ... to fully exploit the script 's potential for sick humor
1,it 's simply crude and unrelentingly exploitative
0,A major waste ... generic .
4,exhilarating
2,might not even notice it
2,Shrek -RRB-
2,Looking for Leonard
2,you think that every possible angle has been exhausted by documentarians
2,other times
1,not to be moved by this drama
1,are frequently too dark to be decipherable
0,the fun wears thin -- then out -- when there 's nothing else happening
2,with the pesky moods of jealousy
3,make a nice coffee table book
0,`` ... something appears to have been lost in the translation this time .
4,The Pianist is Polanski 's best film .
1,I have a feeling that I would have liked it much more if Harry & Tonto never existed
1,threadbare comic setups
1,its hackneyed and meanspirited storyline with cardboard characters and performers
4,swept away
2,Park 's
1,from the cutting-room floor of any given daytime soap
4,Spiderman ROCKS
0,spent the past 20 minutes looking at your watch
1,it can not even be dubbed hedonistic
2,that team
1,a teenage boy out there somewhere who 's dying for this kind of entertainment
4,a beautiful film
0,was n't at least watchable
1,'ll feel like you ate a Reeses without the peanut butter ...
4,Love ''
3,as sharp as the original
3,the emotional depth
2,emotion or
2,If the very concept makes you nervous
1,left slightly unfulfilled
4,satisfying
1,that there 's really not much of a sense of action
2,John Waters and Todd Solondz
3,creativity
2,less baroque
1,Despite the surface attractions
0,searching for a quarter in a giant pile of elephant feces ...
3,also treats the subject with fondness and respect
2,Why `` they '' were here and
3,emotionally and narratively complex
3,should please history fans
1,do n't care whether that cold-hearted snake Petrovich -LRB- that would be Reno -RRB- gets his comeuppance .
0,A mechanical action-comedy whose seeming purpose is to market the charismatic Jackie Chan to even younger audiences .
3,made to share the silver screen
3,is also a creative urge
3,remarkable yet shockingly
3,as a classic movie franchise
0,worse than you can imagine
3,counts heart as important as humor
4,star performance
1,nothing at all
3,The Wild Wild West
1,painful improbability
2,from a Uruk-Hai
0,is a mess from start to finish
4,A coming-of-age movie that Hollywood would n't have the guts to make .
1,is unable to save the movie
2,holiday kids
1,to a dumb story
4,It zips along with B-movie verve while adding the rich details and go-for-broke acting that heralds something special .
2,Pictures '
2,this relationship
0,in its crapulence
4,its great credit
1,this Nicholas Nickleby finds itself in reduced circumstances -- and
1,to squeeze a few laughs out of the material
0,with the sloppy slapstick comedy
1,vainly
4,Intelligent and moving .
0,hideously and
3,'d expect to see on Showtime 's ` Red Shoe Diaries
0,find it uninteresting
3,walked away from this new version of E.T. just as I hoped I would -- with moist eyes .
4,is a stunning new young talent in one of Chabrol 's most intense psychological mysteries
4,great fun
0,A smug and convoluted action-comedy that does n't allow an earnest moment to pass without reminding audiences that it 's only a movie .
3,spectacularly outrageous
1,they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes
0,the script is about as interesting as a recording of conversations at the Wal-Mart checkout line
1,straining to produce another smash
4,the peculiarly moral amorality of -LRB- Woo 's -RRB- best work
1,drag along the dead -LRB- water -RRB- weight of the other
2,the travails
4,makes it all the more compelling .
4,#NOM?
0,You 'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .
2,liven things
3,Love in the Time of Money
4,is one of the year 's best films
4,it is a refreshingly forthright one
2,eclair
0,This is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .
2,Blair Witch
0,stunningly unoriginal
1,a flimsy excuse
3,less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably
2,multiple
3,to liven things up
0,it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls
0,I Killed My Father is one of those art house films that makes you feel like you 're watching an iceberg melt -- only
1,malarkey
2,the quick emotional connections
2,this vision
3,Barry 's cold-fish act makes the experience worthwhile
0,slow death
3,As tricky and satisfying as any of David Mamet 's airless cinematic shell games .
1,refuses to spell things out for viewers
1,of routine stuff Yuen
4,the ethereal beauty
2,Kubrick-meets-Spielberg exercise
1,for overstimulated minds
0,is in bad need of major acting lessons and maybe a little coffee .
4,The actors are simply too good
4,a gritty style and an excellent cast
0,It 's just merely very bad .
0,smug and convoluted
4,by splendid performances
3,that you 'll feel too happy to argue much
4,fascinating subject matter
3,who welcomes a dash of the avant-garde fused with their humor
4,wonderfully loopy
2,takes off in totally unexpected directions and keeps on going
4,inspiring and
0,without beauty or humor
4,'s a great performance and a reminder of Dickens ' grandeur .
1,that ends with a whimper
3,to care about the character
3,illuminates
1,Criminal
1,whole mess
1,wander into the dark areas of parent-child relationships without flinching
2,collaboration
4,with a visually masterful work of quiet power
1,comically dismal social realism
0,who enjoy moaning about their cruel fate
3,dreamy
3,has found the perfect material with which to address his own World War II experience in his signature style
3,sustains interest during the long build-up of expository material .
0,Each scene immediately succumbs to gravity and plummets to earth .
4,returns to narrative filmmaking with a visually masterful work of quiet power
0,Rife with nutty cliches and far too much dialogue
2,Tuck Everlasting suffers from a laconic pace and a lack of traditional action .
0,I hate the feeling of having been slimed in the name of High Art .
1,you find yourself praying for a quick resolution
4,the courage of its convictions and excellent performances on its side
2,Has a customarily jovial air but a deficit of flim-flam
